Section,Spawn,League / Purpose,Best form & rank,IV target (Poke Genie),Recommended moveset,Keep,Family total,Notes
Wild Spawns — Jul 21–23 (Kanto/Johto/Hoenn),Bulbasaur,Raid / Mega,Mega Venusaur (good Grass/Poison raider),IV% ≥96% or 15 ATK  (high ATK),Vine Whip / Frenzy Plant,1,1,No league top-50 (Venusaur best UL #224). Bulbasaur Little #275 — not viable.
Wild Spawns — Jul 21–23 (Kanto/Johto/Hoenn),Charmander,Raid / Mega,Mega Charizard X & Y (Y = top Fire raider),IV% ≥96% or 15 ATK  (high ATK),Fire Spin / Blast Burn,2,2,† One Charizard Mega-evolves into EITHER X or Y — 1 hundo mechanically covers both. No PvP top-50.
Wild Spawns — Jul 21–23 (Kanto/Johto/Hoenn),Squirtle,Ultra,Blastoise #22,Poke Genie rank ≤ #100  (Rank% ≥97.6; low ATK),Rollout / Hydro Cannon / Skull Bash,1,2,Blastoise GL #51 (near-miss — a low-ATK one is usable in GL too). Mega is outclassed; hundo optional.
,,Raid / Mega,Mega Blastoise (weak raider — optional),IV% ≥96% or 15 ATK  (high ATK),Water Gun / Hydro Cannon,1,,
Wild Spawns — Jul 21–23 (Kanto/Johto/Hoenn),Chikorita,Little Cup,Chikorita #41 (base),Poke Genie rank ≤ #100  (Rank% ≥97.6; low ATK),Vine Whip / Body Slam / Grass Knot,1,1,Only Little Cup. Meganium not a raider; no mega.
Wild Spawns — Jul 21–23 (Kanto/Johto/Hoenn),Cyndaquil,Collection,"Typhlosion — budget Fire attacker, outclassed",1× best IV or shiny,Ember / Blast Burn,1,1,"No PvP top-50, no mega. (Hisuian Typhlosion is the good one — different mon.)"
Wild Spawns — Jul 21–23 (Kanto/Johto/Hoenn),Totodile,Great,Feraligatr #14,Poke Genie rank ≤ #100  (Rank% ≥97.6; low ATK),Shadow Claw / Hydro Cannon / Ice Beam,1,2,Strong in both capped leagues. No mega.
,,Ultra,Feraligatr #46,Poke Genie rank ≤ #100  (Rank% ≥97.6; low ATK),Shadow Claw / Hydro Cannon / Ice Beam,1,,
Wild Spawns — Jul 21–23 (Kanto/Johto/Hoenn),Treecko,Raid / Mega,Mega Sceptile (top Grass raider),IV% ≥96% or 15 ATK  (high ATK),Fury Cutter / Frenzy Plant,1,1,No PvP top-50 (Sceptile best GL #446). Value is the Mega.
Wild Spawns — Jul 21–23 (Kanto/Johto/Hoenn),Torchic,Raid / Mega,Mega Blaziken (strong Fire/Fighting),IV% ≥96% or 15 ATK  (high ATK),Counter / Blast Burn,1,1,No PvP top-50. Value is the Mega.
